a1	【A1】adj.第一等的;最佳的;头等的
astonishing	【astonishing】adj.可惊的
astonishingly	【astonishingly】adv.可惊地
astonishment	【astonishment】n.惊奇
astound	【astound】vt.使…大吃一惊;惊愕
astounding	【astounding】adj.令人惊骇的
astrachan	【astrachan】n.俄国羔皮
astraddle	【astraddle】adv.跨
astraea	【Astraea】n.正义的女神
astragalus	【astragalus】n.距骨;紫云英属
astrakhan	【astrakhan】n.俄国羔皮
astral	【astral】adj.星的;多星的;星界的
astray	【astray】adj.adv.迷路;堕落
astrict	【astrict】v.绑;束缚;限制
astriction	【astriction】n.束缚;限制;便秘
astride	【astride】adv.跨着
astringe	【astringe】v.缩;使收缩;使收敛
astringency	【astringency】n.收敛性;严酷
astringent	【astringent】n.收敛剂;adj.收敛性的;严酷的
astrobiology	【astrobiology】n.太空生物学
astrologer	【astrologer】n.占星家
astrological	【astrological】adj.占星的;占星术的
astrology	【astrology】n.占星术
astrometeorology	【astrometeorology】n.天体气象学
astrometry	【astrometry】n.天体测定
astronaut	【astronaut】n.太空人
astronautical	【astronautical】adj.太空航行学
astronautics	【astronautics】n.太空航空学
astronavigation	【astronavigation】n.太空航行
astronomer	【astronomer】n.天文学家
astronomical	【astronomical】adj.天文学的
astronomy	【astronomy】n.天文学
astrophotography	【astrophotography】n.天体摄影术
astrophysical	【astrophysical】adj.天体物理学的
astrophysicist	【astrophysicist】n.天体物理学家
astrophysics	【astrophysics】n.天体物理学
astrospace	【astrospace】n.宇宙空间
astrotracker	【astrotracker】n.星体追踪器
astute	【astute】adj.机敏的
astuteness	【astuteness】n.机敏;精明
astylar	【astylar】adj.无柱式的
asub	【A-sub】n.原子潜艇
asuncion	【Asuncion】n.南美的&nbspParaguay&nbsp的首都
asunder	【asunder】adv.分开;折断
asunder/break	【asunder&nbspbreak】n.分裂为二;分半
as/usual	【as&nbspusual】adv.像往常一样
aswandam	【Aswandam】n.阿斯万水坝
as/well/be/hanged/for/a/sheep/as/for/a/lamb	【as&nbspwell&nbspbe&nbsphanged&nbspfor&nbspa&nbspsheep&nbspas&nbspfor&nbspa&nbsplamb】n.偷小羊死，不如偷大羊死
asychronism	【asychronism】n.[理]异步
asylum	【asylum】n.收容所;庇护
asymmetric	【asymmetric】n.不对称
asymmetry	【asymmetry】n.不均匀;不称;不对称
asymptote	【asymptote】n.渐近线
asyndetic	【asyndetic】n.不连杂讯
asyndeton	【asyndeton】n.接续词省略
as/you/make/your/bed，/you/must/lie/on/it	【as&nbspyou&nbspmake&nbspyour&nbspbed，&nbspyou&nbspmust&nbsplie&nbspon&nbspit】n.自己舖的床，自己就得躺
as/you/sow，/so/shall/you/reap	【as&nbspyou&nbspsow，&nbspso&nbspshall&nbspyou&nbspreap】n.种什麽，收什麽
at	【at】pre.在;於;以
atabrine	【atabrine】n.疟涤平
at/a/distance	【at&nbspa&nbspdistance】adv.在远处
atalanta	【Atalanta】n.捷足善走的美女
at/a/later/time	【at&nbspa&nbsplater&nbsptime】adv.在稍後
at/all/time	【at&nbspall&nbsptime】adv.总是
at/all/times	【at&nbspall&nbsptimes】adv.总是
at/a/loss	【at&nbspa&nbsploss】adv.困惑
at/any/cost	【at&nbspany&nbspcost】adv.无论如何
at/any/rate	【at&nbspany&nbsprate】adv.无论如何
atavism	【atavism】n.返祖现象
atavistic	【atavistic】adj.隔代遗传的
ataxic	【ataxic】adj.运动失调的
at/best	【at&nbspbest】adv.充其量
ate	【ate】p.=eat
atelier	【atelier】n.工作室;画室
atheism	【atheism】n.无神论
atheist	【atheist】n.无神论者
atheistic	【atheistic】adj.无神论(者)的
athena	【Athena】n.雅典娜;智慧与技艺的女神
athenian	【Athenian】n.雅典人;adj.雅典(人)的
athens	【Athens】n.雅典
athermancy	【athermancy】n.不透热;不透热性
atheroma	【atheroma】n.动脉内壁的脂肪沈滞;粉瘤
atherosclerosis	【atherosclerosis】n.脂肪沈滞性动脉硬化症
at/high/tide	【at&nbsphigh&nbsptide】adv.涨潮时
a/thing/of/beauty/is/a/joy/forever	【a&nbspthing&nbspof&nbspbeauty&nbspis&nbspa&nbspjoy&nbspforever】n.美的东西永远让人喜悦
athirst	【athirst】adj.渴望的
athlete	【athlete】n.运动员
athletes/foot	【athlete's&nbspfoot】[医]香港脚
athletic	【athletic】adj.比赛的;运动的
athletically	【athletically】adv.竞赛地;运动比赛地;运动家作风地
athleticism	【athleticism】n.运动竞赛;崇尚运动;竞技热
athletics	【athletics】n.pl.运动;体育
athodyd	【athodyd】n.导管喷射引擎
athome	【at-home】n.招待会
athwart	【athwart】adv.pre.横过;相反
athwartships	【athwartships】adv.横过船
atic	【-atic】…的;…性的
atilt	【atilt】adv.挺着矛;摆着冲刺的姿势;倾向着
atingle	【atingle】adj.刺痛的;疼痛的
ation	【-ation】动作;过程;结果;状态;状况
ative	【-ative】趋向;性质;作用;关系
atlantean	【Atlantean】n.如&nbspAtlas&nbsp的;力大无双的;Atlantis&nbsp岛的
atlantic	【Atlantic】n.adj.大西洋(的)
atlantis	【Atlantis】n.亚特兰提斯岛;传说沈没於大西洋中的岛
atlas	【atlas】n.地图集
at/last	【at&nbsplast】adv.最後
at/latest	【at&nbsplatest】adv.最迟
at/least	【at&nbspleast】adv.至少
at/length	【at&nbsplength】adv.最後
at/loose/ends	【at&nbsploose&nbspends】adj.精神涣散
at/low/ebb	【at&nbsplow&nbspebb】adv.衰退
atman	【atman】n.呼吸;生命的本源;灵魂
atmolysis	【atmolysis】n.分气
atmometer	【atmometer】n.汽化计
atmosphere	【atmosphere】n.大气;气氛
atmospheric	【atmospheric】adj.大气的
atmospherically	【atmospherically】adv.大气所致的;气压所致的;气压上
atmospherics	【atmospherics】n.[电]天电
at/most	【at&nbspmost】adv.充其量
at/night	【at&nbspnight】adv.在晚上
at/noon	【at&nbspnoon】adv.在中午
atoll	【atoll】n.环礁;环状珊瑚岛
atom	【atom】n.原子
atom/blitz	【atom&nbspblitz】n.用原子弹的闪电式空袭
atom/bomb	【atom&nbspbomb】n.原子弹;v.用原子弹攻击
atom/bomber	【atom&nbspbomber】n.原子弹轰炸机
atomic	【atomic】(=-al)adj.原子的;微粒的;原子力的
atomic/bomb	【atomic&nbspbomb】=atom&nbspbomb
atomic/fission	【atomic&nbspfission】n.原子核分裂
atomicity	【atomicity】n.原子数
atomic/nucleus	【atomic&nbspnucleus】n.原子核
atomic/number	【atomic&nbspnumber】n.原子序数
atomic/physics	【atomic&nbspphysics】n.原子物理学
atomic/reactor	【atomic&nbspreactor】n.原子反应炉
atomics	【atomics】n.原子学
atomic/weight	【atomic&nbspweight】n.原子量
atomiser	【atomiser】n.雾化器
atomism	【atomism】n.原子论
atomist	【atomist】n.原子论者
atomistic	【atomistic】adj.原子论的
atomization	【atomization】n.原子化;以原子弹粉碎之;吹成为雾
atomize	【atomize】v.使分为原子;将…喷成雾状
atomizer	【atomizer】n.喷雾器;香水喷瓶;雾化器
atomsmasher	【atom-smasher】n.原子加速器
atomy	【atomy】n.微小之物;原子;矮人
atonal	【atonal】adj.无音色的
atonality	【atonality】n.无调性
at/once	【at&nbsponce】adv.立刻
atone	【atone】vi.赔偿
atonement	【atonement】n.赔偿;赎罪;补偿
atonic	【atonic】n.[医]镇定剂;adj.[语]平音的;清音的;无活力的
atony	【atony】n.弛缓;无力
atop	【atop】adv.在顶上;pre.在…的顶上
a/total	【a&nbsptotal】n.总数为
a/total/of	【a&nbsptotal&nbspof】adj.总数为
at/random	【at&nbsprandom】adv.随意
atrip	【atrip】adv.刚吊起离海底
atrium	【atrium】n.中院;中庭;心房
atrix	【-atrix】-ator的阴性
atrocious	【atrocious】adj.凶暴的;残忍的
atrocity	【atrocity】n.凶恶;残忍
atrophic	【atrophic】adj.萎缩的
atrophy	【atrophy】n.萎缩;萎缩症
atropine	【atropine】n.[化]颠茄硷
attach	【attach】v.附上;贴上;使属於;拘留
attachable	【attachable】adj.可连接的;可附上的;可逮捕的
attache	【attache】n.[法]随员
attache/case	【attache&nbspcase】n.手提皮包;公事包
attached	【attached】n.附件;adj.附上的;v.附上;依恋;爱慕;附加
attaching	【attaching】adj.附属的
attachment	【attachment】n.附着;附属品
attack	【attack】n.vt.攻击;着手
attacker	【attacker】n.攻击者
attain	【attain】v.选;独得
attainable	【attainable】adj.可选到的;可得到的
attainder	【attainder】n.褫夺公权
attained	【attained】v.达到;获得
attainment	【attainment】n.成就;pl.学识;节能
attaint	【attaint】n.私权丧失;污点;耻辱;v.宣告褫夺私权;损坏
attar	【attar】n.玫瑰油
attemper	【attemper】v.使缓和;调度;调和
attempt	【attempt】vt.尝试;企图;n.试;努力;袭击
attend	【attend】v.参加;照料
attendance	【attendance】n.出席;照料;出席者
attendant	【attendant】adj.随行的;n.随员;参加者
attention	【attention】n.注意;留心
attentive	【attentive】adj.注意的;周到的;殷勤的
attentively	【attentively】adv.注意地;周到地;殷勤地
attentiveness	【attentiveness】n.注意;周到;殷勤
attenuant	【attenuant】n.稀释药;adj.使变稀薄的;稀释的
attenuate	【attenuate】v.变稀薄;adj.稀薄的
attenuating	【attenuating】n.减弱
attenuation	【attenuation】n.稀薄;减少
attenuator	【attenuator】n.衰减器
attest	【attest】v.证明;(使)发誓
attestation	【attestation】n.证明(书)
attestor	【attestor】n.证人;证明者
at/the/same/time	【at&nbspthe&nbspsame&nbsptime】adv.同时
attic	【attic】n.阁楼
attica	【Attica】n.古代希腊的一地方
atticism	【atticism】n.雅典语法;文雅的言辞;亲雅典
attila	【Attila】n.匈奴王
attire	【attire】n.服装;vt.打扮;装饰
attitude	【attitude】n.态度;姿势
attorn	【attorn】v.承认新地主
attorney	【attorney】n.[法]代理人
attorney/at/law	【attorney&nbspat&nbsplaw】n.[美]律师
attorney/general	【attorney&nbspgeneral】n.首席检察官
attract	【attract】vt.吸引
attraction	【attraction】n.吸引;[理]引力
attractive	【attractive】adj.有吸引力的
attractively	【attractively】adv.引人注意地
attractor	【attractor】n.引起注意的人
attributable	【attributable】adj.基因於...的
attribute	【attribute】vt.归因;n.属性;象徵;[文]定语
attribution	【attribution】n.归属
attributive	【attributive】adj.[文]定语的;n.修饰语
attrition	【attrition】n.消耗;摩擦;磨损
attune	【attune】v.调;使…合调;使…相合
at/will	【at&nbspwill】adv.任意
at/worst	【at&nbspworst】adv.最坏
atypical	【atypical】adj.不合型;不定形;破格
auburn	【auburn】n.adj.赤鸢色(的)
auckland	【Auckland】n.奥克兰
auction	【auction】n.vt.拍卖
auctioneer	【auctioneer】n.拍卖人
audacious	【audacious】adj.大胆的;蛮不讲理的
audacity	【audacity】n.大胆;厚颜
audibility	【audibility】n.可听到;能听度;可闻度
audible	【audible】adj.听得到的
audibleness	【audibleness】n.可听性
audibly	【audibly】adv.可听见地
audience	【audience】n.听众;观众;谒见
audience/chamber	【audience&nbspchamber】n.接见室
audile	【audile】n.听觉型的人
audio	【audio】n.声频;adj.声音的;音频的
audiogram	【audiogram】n.声波圆
audiology	【audiology】n.听觉学
audiometer	【audiometer】n.听力表;测听计;音响测定器
audiometry	【audiometry】n.测听术
audion	【audion】n.三极真空管
audiovisual	【audiovisual】n.视听
audiovisual/aids	【audiovisual&nbspaids】n.视听教具
audiphone	【audiphone】n.助听器;利听器
audit	【audit】n.会计检查;核数
audition	【audition】n.听觉;v.试听
auditive	【auditive】adj.耳朵的;听觉的
auditor	【auditor】n.会计检查官;核数员
auditoria	【auditoria】pl.=auditorium
auditorial	【auditorial】adj.查帐的;查帐官的
auditorium	【auditorium】n.大会堂;礼堂
auditorship	【auditorship】n.会计检查官之职;身份
auditory	【auditory】n.听众;adj.听觉的
audrey	【Audrey】n.欧蕊
aug	【Aug.】=August
augean	【Augean】adj.Elis&nbsp王&nbspAugeas&nbsp的;极脏的
auger	【auger】n.螺丝钻
aught	【aught】n.=anything;adv.[古]一点也
augite	【augite】n.普通辉石;斜辉石
augment	【augment】n.vt.增大
augmentation	【augmentation】n.增大
augmentative	【augmentative】adj.增加的;扩大的
augur	【augur】n.占卜师;v.占卜
augural	【augural】adj.卜占的;前兆的
augury	【augury】n.占兆;占卜;预言
august	【August】n.八月;[a-]adj.威严的;令人敬畏的
augustan	【Augustan】n.奥古斯都的;奥古斯都时代的
auk	【auk】n.[动]海鸦
auklet	【auklet】n.小海雀
auld/lang/syne	【auld&nbsplang&nbspsyne】n.美好的昔曰
aunt	【aunt】n.伯母;叔母;姑妈;姨妈
auntie	【auntie】n.伯母;叔母;姑妈;姨妈
aunty	【aunty】n.伯母;叔母;姑妈;姨妈
aura	【aura】n.气味;气氛
aurae	【aurae】n.气味;气氛
aural	【aural】adj.耳的;听觉的
aureate	【aureate】adj.金色的;璨烂的;镀金的
aurelia	【aurelia】n.蛹;水母
aurelian	【aurelian】n.蝶蛾研究家;昆虫采集家;adj.蛹的;水母的
aurelius	【Aurelius】n.罗马皇帝兼斯多葛派哲学家
aureola	【aureola】n.光环;晕
aureole	【aureole】n.光轮;光环
aureomycin	【aureomycin】n.金霉素
auric	【auric】adj.金的;第二金的
auricle	【auricle】n.外耳
auricled	【auricled】adj.有耳的;有耳状部的
auricular	【auricular】n.耳的;耳状的;心耳的
auriferous	【auriferous】adj.产金的;含金的
auriform	【auriform】adj.耳状的
auriga	【Auriga】n.[天]御夫座
aurist	【aurist】n.耳科医
aurochs	【aurochs】n.古代野牛
aurora	【aurora】n.署光;极光
auroral	【auroral】adj.署光的;玫瑰色的;极光的
aurous	【aurous】adj.金的;含金的;第一金的
aurum	【aurum】n.[拉化]金
auscultate	【auscultate】v.听诊
auscultation	【auscultation】n.听诊
auscultator	【auscultator】n.听诊者;听诊器
auscultatory	【auscultatory】adj.听诊的
auspicate	【auspicate】v.卜得吉兆而开始;占卜;预言
auspice	【auspice】n.赞助;主办;吉兆
auspices	【auspices】n.pl.赞助;主办
auspicious	【auspicious】n.好兆头的
aussie	【Aussie】n.澳洲人
austempering	【austempering】n.沃斯回火法
austenite	【austenite】n.沃斯田铁;沃斯田体
austenizing	【austenizing】n.沃斯田化
austere	【austere】adj.严格的;节约的
austerity	【austerity】n.严格;节约
austin	【Austin】n.英国制汽车牌名
austral	【austral】adj.南的;南国的
australasia	【Australasia】n.大洋洲;南洋洲
australasian	【Australasian】n.大洋洲人
australia	【Australia】n.澳洲
australian	【Australian】adj.澳洲的(人)
australis	【australis】n.南极光
austria	【Austria】n.奥地利
austrian	【Austrian】n.adj.奥地利的(人)
austronesia	【Austronesia】n.太平洋中南部诸岛
austronesian	【Austronesian】n.Austronesia&nbsp语族;adj.Austronesia&nbsp的
autacoid	【autacoid】n.内分泌物
autarchy	【autarchy】n.自给自足
autarky	【autarky】=autarchy
authentic	【authentic】adj.可信的;真的
authentically	【authentically】adv.确实地;真正地
authenticate	【authenticate】v.证明;证实;监定
authentication	【authentication】n.证明;监定
authenticity	【authenticity】n.确实性;真实性
author	【author】n.作家;着者
authoress	【authoress】n.女作家
authorial	【authorial】adj.着者的
authoritarian	【authoritarian】adj.独裁的;独裁主义的
authoritative	【authoritative】adj.有权威的
authoritatively	【authoritatively】adv.威严地
authority	【authority】n.权威;权限
authorization	【authorization】n.授权;委任
authorize	【authorize】vt.授权;认可
authorized	【authorized】adj.公认的
authorized/version	【authorized&nbspversion】n.钦定圣经英译本
authorless	【authorless】adj.匿名的
authorship	【authorship】n.作者的身份;资格
autnumber	【autnumber】v.数目超过;比…多
auto	【auto】n.[美俗]汽车
autoalarm	【autoalarm】n.自动警报接收机
autobicycle	【autobicycle】n.机器脚踏车
autobike	【autobike】n.机器脚踏车
autobiographer	【autobiographer】n.自传作者
autobiographic	【autobiographic】(=-al)adj.自传的
autobiography	【autobiography】n.自传
autobus	【autobus】n.公共汽车;巴士
autocade	【autocade】n.汽车队伍
autocar	【autocar】n.汽车
autocephalous	【autocephalous】adj.独立的;自立自主的
autochanger	【auto-changer】n.自动连续演奏装置
autochrome	【autochrome】n.彩色照片
autochthon	【autochthon】n.土着;土人;土生的动植物
autochthonal	【autochthonal】adj.土生的;土地固有的;土着的
autochthonism	【autochthonism】n.土着;土生;土产
autoclave	【autoclave】n.高压蒸锅
autocode	【autocode】n.自动编码
autocorrelation	【autocorrelation】n.自相关器
autocracy	【autocracy】n.独裁政治
autocrat	【autocrat】n.独裁君主
autocratically	【autocratically】adv.独裁地;专制地
autocycle	【autocycle】n.机器脚踏车
autodidact	【autodidact】n.自学者
autoemission	【autoemission】n.自动发射
autogamous	【autogamous】adj.自花受粉的;自家生殖的
autogamy	【autogamy】n.[植]自花授粉
autogenesis	【autogenesis】n.单性生殖;自生
autogenetic	【autogenetic】adj.单性生植;自生
autogenous	【autogenous】adj.[生]自生的;气焊的
autogeny	【autogeny】n.自生;单性生殖
autogiro	【autogiro】n.旋翼飞机
autograph	【autograph】n.v.亲笔(写)
autographic	【autographic】adj.亲笔的
autogravure	【autogravure】n.照像版雕刻法
autogyro	【autogyro】n.直升机
autohypnosis	【autohypnosis】n.自我催眠
autoinatic	【autoinatic】n.自动
autoinfection	【autoinfection】n.自体传染
autoinoculation	【autoinoculation】n.自体接种;病毒自体移转
autointoxication	【autointoxication】n.自体中毒
autoist	【autoist】n.常用汽车的人
autokinesis	【autokinesis】n.自发之动作
autokinetic	【autokinetic】adj.自动的
autolysis	【autolysis】n.自我分解
automat	【automat】n.自动装置;自助菜馆
automata	【automata】pl.=automaton
automatic	【automatic】adj.自动的(装置)
automatically	【automatically】adv.自动地;机械地
automatic/depositor	【automatic&nbspdepositor】n.自动存款机
automaticity	【automaticity】n.自动性
automation	【automation】n.自动化
automatism	【automatism】n.自动;自动作用;自动力
automatize	【automatize】v.自动化;给…装自动机器
automatograph	【automatograph】n.自动记录器
automaton	【automaton】n.自动玩具;自动器
autometer	【autometer】n.汽车速度表
automobile	【automobile】n.[美]汽车
automobilist	【automobilist】n.常用汽车的人
automonitor	【automonitor】n.自动监测器
automotive	【automotive】adj.汽车的
autonomic	【autonomic】adj.自治的;自律的
autonomist	【autonomist】n.主张自治者;自治论者
autonomous	【autonomous】n.自治的
autonomy	【autonomy】n.自治;[生]自发性
autonym	【autonym】n.本名;真名;以本名撰写的作品
autopilot	【autopilot】n.自引示
autoplarity	【autoplarity】n.自动极性变换
autoplasty	【autoplasty】n.自身组织移植手术
autoplotter	【autoplotter】n.自动绘图机
autopsy	【autopsy】n.屍体解剖
autoradiograph	【autoradiograph】n.放射能照像
autostarter	【autostarter】n.自起动器
autosuggestion	【autosuggestion】n.自我暗示;自家感应
autosyn	【Autosyn】n.自动同步机
autotelic	【autotelic】adj.自己本身具有目的的
autotomy	【autotomy】n.自割
autotoxin	【autotoxin】n.自体毒素
autotrain	【auto-train】n.驾车乘座的火车
autotransformer	【autotransformer】n.自动变压器
autotruck	【autotruck】n.[美]卡车
autotype	【autotype】n.单色版;此版印成的相片;复写;v.用单色照相版复写
autoxidation	【autoxidation】n.自然氧化
autumn	【autumn】n.秋季
autumnal	【autumnal】adj.秋的;秋天的
auxetophone	【auxetophone】n.助声器
auxiliary	【auxiliary】n.[文]助动词;adj.补助的
auxin	【auxin】n.茁长素
avail	【avail】n.v.有益於;有用
availability	【availability】n.有效;可利用
available	【available】adj.有用的
availably	【availably】adv.有效地
avalanche	【avalanche】n.崩落;雪崩;v.崩落;涌至
avantcourier	【avant-courier】n.先驱;前卫;先锋
avantgarde	【avantgarde】n.先锋
avarcious	【avarcious】adj.贪心的
avarice	【avarice】n.贪婪
a/variety/of	【a&nbspvariety&nbspof】adj.多种
avatar	【avatar】n.天神下凡;神之化身;具体化
avaunt	【avaunt】v.走开
ave	【ave】=avenue
avebell	【ave-bell】n.祈祷之钟
ave/maria	【ave&nbspmaria】n.福哉马利亚;颂赞的祈祷
avenge	【avenge】vt.复仇;报复
avenger	【avenger】n.报仇者
avens	【avens】n.水杨梅属植物
avenue	【avenue】n.林荫路;大街;门径
aver	【aver】vt.断言
average	【average】n.adj.平均(的);平常(的);v.平均
averment	【averment】n.断言;主张;申辩
avernus	【Avernus】n.意大利拿坡里附近的小湖;地狱
averse	【averse】adj.嫌恶
aversion	【aversion】n.嫌恶;反应
avert	【avert】vt.避开;防止
aves	【Aves】n.pl.[动]鸟纲
ave/to	【ave&nbspto】[aux.]必须
ave/to/be	【ave&nbspto&nbspbe】v.必须
avgas	【avgas】n.飞机用的汽油
avian	【avian】adj.鸟类的
aviary	【aviary】n.飞禽饲养所
aviate	【aviate】v.用飞机飞行
aviation	【aviation】n.飞行;航空
aviator	【aviator】n.飞行员
aviators/ear	【aviator's&nbspear】n.高空飞行性中耳炎
aviatress	【aviatress】n.女飞行家
aviatrix	【aviatrix】n.女性飞行员
aviculture	【aviculture】n.养鸟;鸟类饲养
avid	【avid】adj.贪慾
avidity	【avidity】n.贪慾
avifauna	【avifauna】n.鸟类
aviso	【aviso】n.通报;通报舰
avitaminosis	【avitaminosis】n.维生素缺乏症
avitrice	【avitrice】n.女飞行家
avocado	【avocado】n.[植]鳄梨(树)
avocation	【avocation】n.消遣;副业
avoid	【avoid】vt.逃避
avoidance	【avoidance】n.回避;逃避;[法]无效
avoirdupois	【avoirdupois】n.常衡;肥胖
avon	【Avon】n.英国中部一河
avouch	【avouch】v.声言;断言
avow	【avow】vt.声言;[法]直认
avowal	【avowal】n.声言;供认;承认
avowed	【avowed】adj.自认的;公开宣布的
avowedly	【avowedly】adv.公然地
avulse	【avulse】v.扯离;撕裂;剥离
avulsion	【avulsion】n.扯开;撕裂;扯离的部份
avuncular	【avuncular】adj.伯父的;伯父似的
await	【await】vt.等待;等候
awake	【awake】(awoke，awaked)v.唤起;叫醒;醒;adj.醒着;警戒着
awaken	【awaken】vt.醒悟;使惊醒
awakening	【awakening】n.醒悟;惊醒;adj.唤醒的;惊醒的
award	【award】vt.授与;判定;n.奖品;判决
aware	【aware】adj.知道;晓得
awash	【awash】adj.与水面齐平的
a/watched/pot/never/boils	【a&nbspwatched&nbsppot&nbspnever&nbspboils】n.紧盯着看的水壶总不滚
away	【away】adv.离开
a/way	【a&nbspway】adj.单程的;单行的;单行的
awe	【awe】n.畏惧;vt.使敬畏;威吓
a/wealth/of	【a&nbspwealth&nbspof】adj.很多的
aweapon	【A-weapon】n.原子武器
aweather	【aweather】adv.迎风;向风
aweigh	【aweigh】adv.离开海底
aweinspiring	【awe-inspiring】adj.令人敬畏的
aweless	【aweless】adj.无威严的;不知畏惧的;大胆的
awesome	【awesome】adj.可怕的
awestricken	【awe-stricken】adj.充满敬畏的
awestruck	【awe-struck】adj.充满敬畏的
awful	【awful】adj.可怕的;[俗]丑陋的;非常的;很大的
awfully	【awfully】adv.檩然地;[俗]非常
awfulness	【awfulness】n.有威严;庄严;不高兴
awhile	【awhile】adv.暂时
a/wise/man/is/never/less/alone/than/when/alone	【a&nbspwise&nbspman&nbspis&nbspnever&nbspless&nbspalone&nbspthan&nbspwhen&nbspalone】n.聪明人在独处时一点也不感到孤独
awkward	【awkward】adj.难使用的;棘手;笨拙
awl	【awl】n.铲子
awn	【awn】n.[植]芒
awning	【awning】n.布篷
awoke	【awoke】p.pp.=awake
a/wonderful/time	【a&nbspwonderful&nbsptime】n.一段美好时光
a/word/is/enough/to/the/wise	【a&nbspword&nbspis&nbspenough&nbspto&nbspthe&nbspwise】n.聪明人一点就通
a/word/spoken/is/past/recalling	【a&nbspword&nbspspoken&nbspis&nbsppast&nbsprecalling】n.说出的话收不回
awry	【awry】adj.adv.曲;歪;斜
ax	【ax】=axe
axe	【axe】n.斧
axegrinding	【axe-grinding】adj.心中别有企图的
axes	【axes】pl.=axe;=axis
axial	【axial】adj.轴的
axil	【axil】n.胳肢窝;叶腋
axile	【axile】adj.轴的;轴上的
axilla	【axilla】n.咯肢窝;叶腋
axillary	【axillary】n.腋窝的羽翼;adj.腋窝的;叶腋的;腋生的
axinite	【axinite】n.斧石
axiology	【axiology】n.价值论
axiom	【axiom】n.自明之理;公理
axiomatic	【axiomatic】(=-al)adj.自明的
axiomatically	【axiomatically】adv.照公理;自明地
axis	【axis】n.轴;轴线;轴心
axle	【axle】n.轴;轮轴;车轴
axle/bearing	【axle&nbspbearing】n.轴承座
axletree	【axletree】n.轮轴;车轴
axman	【axman】n.用斧者;樵夫
axolotl	【axolotl】n.荣原
axonompetry	【axonompetry】n.晶轴之测定
axstone	【axstone】n.斧石
ay	【ay】n.赞成票;投赞成票者;int.是;行;唉;adv.常;永久
ayah	【ayah】n.女仆;奶妈
aye	【aye】=ay
ayeaye	【aye-aye】n.栗鼠猿;狐猿
ayrshire	【Ayrshire】n.Scotland&nbsp西南部一州;该州产的乳牛
azalea	【azalea】n.杜鹃花
azilian	【Azilian】adj.中石器时代的
azimuth	【azimuth】n.方位(角)
azimuthal	【azimuthal】adj.方位角的
azoic	【azoic】adj.无生的;无生物时代的
azonic	【azonic】adj.不限於一地方的;非地方性的
azote	【azote】n.氮
azotic	【azotic】adj.氮的
azov	【Azov】n.亚速海
azrael	【Azrael】n.死神;死的天使
aztec	【Aztec】n.阿芝特克人;阿芝特克语;adj.阿芝特克人的
azure	【azure】n.天蓝色;碧空;adj.蔚蓝的
azurite	【azurite】n.[矿]蓝铜矿
azygous	【azygous】adj.非对偶的
azym	【azym】(=-e)n无酵母面包
baa	【Baa】n.羊叫声;v.叫
baalamb	【baa-lamb】n.羊鸣
baalism	【Baalism】n.巴尔神崇拜;偶像崇拜
baaroque	【baaroque】n.新奇的作品;adj.巴洛克式的;奇怪的
baas	【baas】n.老板
bab	【Bab】n.Barbara&nbsp的昵称
babble	【babble】n.混串音;v.呀呀学语;喋喋不休
babe	【babe】n.婴儿
babel	【Babel】n.巴别塔
baboon	【baboon】n.狒狒
babouche	【babouche】n.无後鞋跟的套鞋;拖鞋
babushka	【babushka】n.头巾
baby	【baby】n.婴儿
baby/boom	【baby&nbspboom】n.婴儿潮;大量婴儿出生期
baby/bound	【baby&nbspbound】adj.[美]有孕的
baby/car	【baby&nbspcar】n.婴儿车;小型车
baby/farm	【baby&nbspfarm】n.育婴院
baby/firm	【baby&nbspfirm】n.[美]托儿所
babyhood	【babyhood】n.婴儿时代;婴儿;幼稚
babyish	【babyish】adj.幼稚的;稚气的;愚蠢的
babylon	【Babylon】n.巴比龙;罪恶的
babylonia	【Babylonia】n.巴比伦尼亚
babylonian	【Babylonian】n.adj.巴比龙的(人)
babysat	【babysat】v.担任临时保母;照顾婴儿
baby/sit	【baby&nbspsit】v.担任临时保母;照顾婴儿
babysitter	【babysitter】n.临时照顾幼儿者
babytalk	【baby-talk】n.幼儿说不清楚的话;哑哑儿语
baccalaureate	【baccalaureate】n.学士的学位;告别训辞
baccate	【baccate】adj.结浆果的;浆果状的
bacchanal	【bacchanal】n.bacchus之信;adj.[B-]酒神bacchus的;酒神节的;发酒疯的
bacchanalian	【bacchanalian】n.发酒疯的人;adj.酒神节的;狂饮作乐的
bacchantic	【bacchantic】adj.崇拜&nbspbacchus&nbsp的;狂饮作乐的
bacchic	【Bacchic】adj.巴克斯的;酒醉的;喧闹的
bacchus	【Bacchus】n.酒神
bacciferous	【bacciferous】adj.结浆果的
baccy	【baccy】n.烟草
bach	【bach】n.学士;v.过独身生活
bachelor	【bachelor】n.单身汉;学士
bachelorhood	【bachelorhood】n.独身;独身生活
bachelors/degree	【bachelor's&nbspdegree】n.学士学位
bachelorship	【bachelorship】n.独身;学士学位
bacilli	【bacilli】pl.=bacillus
bacilliform	【bacilliform】adj.杆状的
bacillus	【bacillus】n.杆(状)菌;任何细菌
bacilus	【bacilus】n.细菌;杆(状)菌
back	【back】n.背面;後面;adj.後面的;背部之里面;adv.向後地;v.後退;还原;退回
backache	【backache】n.背痛
backbencher	【backbencher】n.座於众院後方席上随声附和的人
backbit	【backbit】v.背後诽谤;背後中伤
backbite	【backbite】v.背後诽谤;背後中伤
